Model,MAE,RMSE,sMAPE,R²,Type
Linear,25.139351783595046,32.41409592391321,1.2962568819991607,0.983746667696947,Holdout
Ridge,24.74395691556261,32.166890050547785,1.2661438720699911,0.9839936341957356,Holdout
RandomForest,90.30011999999999,161.97362323909408,4.4630881615021645,0.594152212224599,Holdout
XGBoost,69.5619951171875,143.03210915013375,3.3299053821507423,0.6835233489359442,Holdout
Linear,31.49534507405405,40.079168794582515,2.0952651076737068,0.9061714993118956,"CV (5-fold, purged)"
Ridge,23.823908996581224,30.647818401589504,1.4414837076049212,0.9368174200848115,"CV (5-fold, purged)"
RandomForest,204.64777777777778,240.39084533559023,14.567026838335487,-2.8955270437166316,"CV (5-fold, purged)"
XGBoost,187.408324347602,222.51666031009916,13.105222313619429,-2.282323003375608,"CV (5-fold, purged)"
