Model,MAE,RMSE,sMAPE,R²,Type
Linear,25.69365338536352,32.94500341618016,1.3314946360706372,0.9832098837716586,Holdout
Ridge,24.764344694196755,32.431428271355884,1.2668701203556283,0.9837292812043368,Holdout
RandomForest,90.36766,162.05285357222195,4.467419723836428,0.5937550695380949,Holdout
XGBoost,66.32574755859375,137.95509347455913,3.1751825314703996,0.7055916872757071,Holdout
Linear,32.650216315602364,41.804067931912485,2.2410876313712493,0.8898855415412306,"CV (5-fold, purged)"
Ridge,23.48185673210323,30.30282386156934,1.4205599034260126,0.9381576973212339,"CV (5-fold, purged)"
RandomForest,202.2364204545455,238.00863650668774,14.356342598734898,-2.799132667731259,"CV (5-fold, purged)"
XGBoost,175.25905046559342,209.00729264487128,12.103833442537466,-1.821557893661838,"CV (5-fold, purged)"
